name,url,city,count
Уборщик производственных и служебных помещений,https://enbek.kz/ru/vacancy/uborshchik-sluzhebnykh-pomeshchenii-uborshchik-proizvodstvennykh-i-sluzhebnykh-pomeshchenii~4857943,Экибастуз,1
Учитель биологии,https://enbek.kz/ru/vacancy/biologiya-pani-mugalimi-orys-synybyna--1-birlik;-uchitel-biologii~4857942,Алматы,1
Специалист по обработке статистической информации,https://enbek.kz/ru/vacancy/specialist-otdela-svodno-analiticheskoi-raboty-specialist-po-obrabotke-statisticheskoi-informacii~4857941,Астана,1
Медицинская(ий) сестра/брат,https://enbek.kz/ru/vacancy/dlya-pensionerov-medicinskaya(ii)-sestra-brat~4857939,Алматы,1
Подсобный рабочий,https://enbek.kz/ru/vacancy/podsobnyi-rabochii~4857938,Карабулак,1
Повар,https://enbek.kz/ru/vacancy/povar-v-detskom-sadu-povar~4857937,Усть-Каменогорск,1
Продавец,https://enbek.kz/ru/vacancy/prodavec~4857936,Павлодар,1
Разнорабочий,https://enbek.kz/ru/vacancy/raznorabochaya-raznorabochii~4857934,Галицкое,1
Заместитель директора по воспитательной работе,https://enbek.kz/ru/vacancy/organizator-zamestitel-direktora-po-vospitatelnoi-rabote~4857932,Узункольское,1
Разнорабочий,https://enbek.kz/ru/vacancy/raznorabochaya-raznorabochii~4857930,Галицкое,1
Начальник цеха (обрабатывающая промышленность),https://enbek.kz/ru/vacancy/predstavitel-cekha-po-izgotovleniyu-trub---inzhener-po-test-paketam-nachalnik-cekha-(obrabatyvayushchaya-promyshlennost)~4857927,Атырау,1
Инженер-программист,https://enbek.kz/ru/vacancy/inzhener-tekhnik-inzhener-programmist~4857926,Бейнеу,1
"Эксперт, Категория С-5","https://enbek.kz/ru/vacancy/ekspert-upravleniya-mezhotraslevoi-koordinacii-ekspert,-kategoriya-s-5~4857925",Астана,1
"Главный специалист, Категория С-О-5","https://enbek.kz/ru/vacancy/glavnyi-specialist-otdela-lesa-i-osobo-okhranyaemykh-prirodnykh-territorii-glavnyi-specialist,-kategoriya-s-o-5~4857920",Туркестан,1
Тракторист,https://enbek.kz/ru/vacancy/traktorist~4857913,Оразалы,1
Учитель казахского языка и литературы,https://enbek.kz/ru/vacancy/kazak-tili-men-adebieti-pani-mugalimi-orys-synybyna---3-birlik;-uchitel-kazakhskogo-yazyka-i-literatury~4857909,Алматы,1
"Другие служащие на транспорте, н.в.д.г.","https://enbek.kz/ru/vacancy/glavnyi-menedzher-(18-greid)-gruppy-po-prodazham-ao-«kaztemirtrans»-drugie-sluzhashchie-na-transporte,-n.v.d.g.~4857908",Астана,1
Дворник,https://enbek.kz/ru/vacancy/dvornik-dvornik~4857907,Актобе,1
Учитель математики (алгебра и геометрия),https://enbek.kz/ru/vacancy/matematika-pani-mugalimi-kazak-synybyna--2-birlik;-matematika-pani-mugalimi-uakytsha-kazak-synybyna---1-birlik-matematika-pani-mugalimi-orys-synybyna--3-birlik;-uchitel-matematiki-(algebra-i-geometriya)~4857905,Алматы,1
Машинист упаковочной машины,https://enbek.kz/ru/vacancy/mashinist-upakovochnykh-linii-mashinist-upakovochnoi-mashiny~4857904,Арысь,1
Дворник,https://enbek.kz/ru/vacancy/dvornik-dvornik~4857903,Алматы,1
Логопед-дефектолог,https://enbek.kz/ru/vacancy/dlya-pensionerov-logoped-defektolog~4857902,Алматы,1
Учитель информатики,https://enbek.kz/ru/vacancy/informatika-pani-mugalimi-orys-synybyna--3-birlik;-18.-informatika-pani-mugalimi-orys-synybyna--2-birlik;-uchitel-informatiki~4857899,Алматы,1
Врач общий хирург,https://enbek.kz/ru/vacancy/vrach-khirurg-vrach-obshchii-khirurg~4857898,Узунколь,1
Учитель иностранного языка,https://enbek.kz/ru/vacancy/agylshyn-tili-pani-mugalimi-orys-synybyna---2-birlik;-2.-agylshyn-tili-pani-mugalimi-uakytsha-kazak-synybyna---4-birlik;-uchitel-inostrannogo-yazyka~4857896,Алматы,1
