name,count
Госслужба,10
"Другие служащие на транспорте, н.в.д.г.",9
Производство,7
Строительство и архитектура,4
Профессии без квалификации,3
"Нефть, газ, добыча ресурсов",3
Медицина и фармацевтика,3
Энергетика,2
Культура и спорт,1
Финансы и бухучет,1
Безопасность и ЧС,1
Туризм,1
Образование и воспитание,1
Транспорт и логистика,1
Проживание и питание,1
Сельское хозяйство,1
Наука и консалтинг,1
