name,url,city,count
Юрист (золоторудная компания),https://hh.ru/vacancy/121539510,Астана,1
Продавец-кассир в ювелирный магазин Pandora (ТРЦ Хан Шатыр),https://hh.ru/vacancy/121495148,Не указано,1
Продавец-консультант,https://hh.ru/vacancy/121468160,Астана,1
Специалист по закупкам,https://hh.ru/vacancy/121532083,Астана,1
Администратор на базу отдыха,https://hh.ru/vacancy/121480218,Не указано,1
Лаборант,https://hh.ru/vacancy/121538269,Нур-Султан (Астана),1
Администратор ресторана,https://hh.ru/vacancy/120464522,Не указано,1
Системный администратор / Тестировщик,https://hh.ru/vacancy/121547267,Не указано,1
Переводчик,https://hh.ru/vacancy/121524032,Не указано,1
Бухгалтер калькулятор,https://hh.ru/vacancy/121504136,Астана,1
Aссистент руководителя /Executive Assistant,https://hh.ru/vacancy/121513810,Нур-Султан (Астана),1
Официант (Cooffe BOOM),https://hh.ru/vacancy/120596090,Не указано,1
Менеджер проекта,https://hh.ru/vacancy/121331216,Не указано,1
Помощник бармена,https://hh.ru/vacancy/120611911,Астана,1
Сотрудник службы контроля,https://hh.ru/vacancy/121496397,Астана,1
Бармен-бариста,https://hh.ru/vacancy/120653984,Астана,1
Бармен,https://hh.ru/vacancy/121276470,Не указано,1
Менеджер АЗС,https://hh.ru/vacancy/121543823,Астана,1
Администратор студии танца,https://hh.ru/vacancy/120708862,Астана,1
Бухгалтер,https://hh.ru/vacancy/121010090,Астана,1
Официант,https://hh.ru/vacancy/121064709,Астана,1
Оператор интернет-заказов,https://hh.ru/vacancy/121526391,Астана,1
Няня годовалому ребенку,https://hh.ru/vacancy/121441788,Астана,1
Юрист,https://hh.ru/vacancy/121448230,Не указано,1
Бухгалтер,https://hh.ru/vacancy/121503314,Астана,1
Юрист по договорной работе,https://hh.ru/vacancy/121542504,Астана,1
Психолог,https://hh.ru/vacancy/121333832,Не указано,1
Оператор-кассир,https://hh.ru/vacancy/121533208,Астана,1
Графический дизайнер,https://hh.ru/vacancy/121454090,Астана,1
Администратор,https://hh.ru/vacancy/121385110,Астана,1
Куратор Quantum Tech School,https://hh.ru/vacancy/121520477,Не указано,1
Администратор салона красоты,https://hh.ru/vacancy/121198082,Астана,1
Бармен,https://hh.ru/vacancy/120658891,Не указано,1
Продавец-консультант,https://hh.ru/vacancy/121480420,Не указано,1
Менеджер по персоналу,https://hh.ru/vacancy/121461137,Астана,1
Консультант в магазин косметики,https://hh.ru/vacancy/121367691,Не указано,1
Главный бухгалтер в одном лице,https://hh.ru/vacancy/121525659,Не указано,1
Сервисный инженер,https://hh.ru/vacancy/121449796,Астана,1
Заместитель главного бухгалтера,https://hh.ru/vacancy/121515465,Не указано,1
Главный редактор / Контент-редактор,https://hh.ru/vacancy/121514559,Астана,1
Официант,https://hh.ru/vacancy/121329597,Не указано,1
Учитель английского языка,https://hh.ru/vacancy/121466765,Не указано,1
Продавец-консультант/кассир в MINISO (ТРЦ Mega Silk Way),https://hh.ru/vacancy/120003594,Не указано,1
Procurement Manager,https://hh.ru/vacancy/121460827,Нур-Султан (Астана),1
Оператор в компьютерный клуб TOP GAME,https://hh.ru/vacancy/121464402,Не указано,1
Территориальный директор ТРЦ,https://hh.ru/vacancy/116467750,Не указано,1
Аналитик,https://hh.ru/vacancy/121130764,Не указано,1
Администратор,https://hh.ru/vacancy/120763185,Астана,1
Бухгалтер материального стола,https://hh.ru/vacancy/121544155,Астана,1
Менеджер по онлайн-продажам товаров,https://hh.ru/vacancy/120581596,Не указано,1
Официант,https://hh.ru/vacancy/121422474,Нур-Султан (Астана),1
Администратор школы вокала,https://hh.ru/vacancy/121443141,Астана,1
Продавец-консультант,https://hh.ru/vacancy/121120533,Астана,1
Администратор ресепшен,https://hh.ru/vacancy/121488808,Астана,1
Директор филиала,https://hh.ru/vacancy/121464599,Астана,1
Продавец-консультант,https://hh.ru/vacancy/121028305,Нур-Султан (Астана),1
Продавец-консультант,https://hh.ru/vacancy/121516154,Астана,1
Официант в кофейню,https://hh.ru/vacancy/120584545,Не указано,1
Администратор на ресепшен,https://hh.ru/vacancy/121458003,Астана,1
Геодезист,https://hh.ru/vacancy/121478363,Не указано,1
Бухгалтер материального стола,https://hh.ru/vacancy/120762530,Не указано,1
Front-End Developer,https://hh.ru/vacancy/121472967,Не указано,1
Официант,https://hh.ru/vacancy/121194304,Астана,1
Бухгалтер материального стола,https://hh.ru/vacancy/121524915,Астана,1
Специалист по кадровому администрированию,https://hh.ru/vacancy/121451935,Астана,1
HR-менеджер,https://hh.ru/vacancy/121536516,Не указано,1
Кассир в кофейню,https://hh.ru/vacancy/119173132,Не указано,1
Бариста/бармен,https://hh.ru/vacancy/121328913,Не указано,1
Сварщик,https://hh.ru/vacancy/121454764,Нур-Султан (Астана),1
Продавец-консультант одежды,https://hh.ru/vacancy/121535104,Астана,1
Продавец-консультант,https://hh.ru/vacancy/120760117,Астана,1
Начальник направления спецтехники,https://hh.ru/vacancy/121479347,Не указано,1
Сервисный инженер,https://hh.ru/vacancy/121495365,Нур-Султан (Астана),1
SMM - мобилограф,https://hh.ru/vacancy/121525794,Астана,1
Администратор салона красоты,https://hh.ru/vacancy/121478742,Астана,1
Офис-менеджер,https://hh.ru/vacancy/121521526,Астана,1
Бармен,https://hh.ru/vacancy/120578658,Не указано,1
Офис-менеджер,https://hh.ru/vacancy/121538459,Астана,1
Frontend/React Native Developer,https://hh.ru/vacancy/121467962,Астана,1
Администратор зала,https://hh.ru/vacancy/121474974,Астана,1
Фасовщик,https://hh.ru/vacancy/121500437,Не указано,1
Помощник дизайнера - Джуниор чертежник,https://hh.ru/vacancy/121384863,Не указано,1
Операционный директор производственного предприятия,https://hh.ru/vacancy/121541217,Астана,1
Администратор,https://hh.ru/vacancy/121452293,Астана,1
Медицинский работник на производство,https://hh.ru/vacancy/121479235,Астана,1
Официант мини-бара,https://hh.ru/vacancy/121362377,Астана,1
Копирайтер со знанием английского языка/рерайтер,https://hh.ru/vacancy/121470506,Астана,1
Таролог,https://hh.ru/vacancy/120508038,Астана,1
Бариста,https://hh.ru/vacancy/121016673,Нур-Султан (Астана),1
Продавец-консультант в магазин для взрослых,https://hh.ru/vacancy/121509125,Астана,1
Продавец-консультант/кассир (ТРЦ Хан Шатыр),https://hh.ru/vacancy/104690151,Не указано,1
Администратор торгового зала (автосалон),https://hh.ru/vacancy/120542973,Не указано,1
Продавец-консультант,https://hh.ru/vacancy/121218141,Астана,1
Охранник,https://hh.ru/vacancy/121495229,Астана,1
Кассир-Бариста,https://hh.ru/vacancy/120927046,Астана,1
Дизайнер проектировщик,https://hh.ru/vacancy/121464866,Не указано,1
Оператор в SimRacing - Компьютерный клуб,https://hh.ru/vacancy/120497200,Астана,1
Администратор на ресепшен,https://hh.ru/vacancy/121108321,Не указано,1
Личный ассистент,https://hh.ru/vacancy/121338225,Не указано,1
СММ-специалист,https://hh.ru/vacancy/121466588,Не указано,1
Бухгалтер по расчету заработной платы,https://hh.ru/vacancy/121536626,Не указано,1
Личный водитель,https://hh.ru/vacancy/121312784,Астана,1
Продавец-консультант,https://hh.ru/vacancy/121509603,Не указано,1
